Note,Commentaire,Label
5,dima nekhouh wou naawd,Positif
5,j\’adore,Positif
4,mche maya,Positif
5,je recommande,Positif
5,le prix est très raisonnable,Positif
4,j aime ce produit et surtout ce grand format c’est assez suffisant pour un usage familiale quotidien,Positif
5,good quality.,Positif
5,mon produit,Positif
5,good quality,Positif
5,le meilleur des gels lavants,Positif
5,excellent produit,Positif
4,je recommande vivement,Positif
4,doux,Positif
5,top,Positif
4,toooop,Positif
4,un produit top,Positif
3,bon produit,Positif
4,good,Positif
5,topp,Positif
4,bien,Positif
5,tooooop,Positif
5,rapport qualité prix excellent ,Positif
3,j’adore,Positif
5,j’adooore,Positif
5,jaime,Positif
4,super,Positif
5,tooop,Positif
4,quantité très généreuse par rapport au prix,Positif
4,superrr,Positif
5,coup de coeur,Positif
5,top du top,Positif
3,to,Positif
5,meilleur tarif,Positif
5,toppp,Positif
5,top top,Positif
5,la meilleure,Positif
4,je l’utilise pour ma fille de 6 ans elle a la peau sèche il est très bien ,Positif
5,mon coup de coeur!,Positif
5,nice,Positif
5,yhabel,Positif
5,waw,Positif
5,good product,Positif
4,je le recommande ,Positif
5,brsmi mahleh w me ychayehch l peau w douce je recommande,Positif
4,<3,Positif
4,format tkafi w twaffi,Positif
2,bien pr tt la famille,Neutre
5,je valide,Positif
4,parfait pour usage familiale,Positif
5,in love,Positif
5,very good,Positif
5,the best,Positif
5,tayara !,Positif
5,rapport qualité prix excellent,Positif
4,hayel,Positif
5,tres bien pour peau grasse,Positif
5,très bien,Positif
4,excellent,Positif
5,tayara,Positif
5,tayaraaa,Positif
5,il est top,Positif
5,excellent !!!!,Positif
3,tayara,Positif
5,très efficace,Positif
4,extraordinaire sensation de frais,Positif
5,votre peau grasse needs it !,Positif
4,raw3aaaaaaaa ,Positif
5,toppppp,Positif
5,mon gel préféré !,Positif
5,très bon,Positif
5,j’ai utilisé svr sebiacleau ma peau est grasse a imperfections et je l’utilise depuis t 2 ans,Positif
2,over qualified,Neutre
4,parfait,Positif
5,love it,Positif
3,très bien !,Positif
5,mon coup de coeur ,Positif
5,mon préféré,Positif
5,top!,Positif
4,si t’as des boutons c’est la solution ,Positif
4,the best ,Positif
4,sooo good,Positif
4,every girls best friend,Positif
4,j’adore ,Positif
4,theee best ,Positif
4,je recommande le produit,Positif
3,oui,Positif
5,un bon gel netteoyant rapport qualité prix est au top,Positif
5,tayaraaaa,Positif
4,literally ahsen mafama,Positif
1,non pour moi,Négatif
3,bech njarbo,Positif
1,c’est pas trés efficace pour moi tala3li 7ab,Négatif
3,ca passe,Positif
3,un peu asséchant,Positif
5,j’adore,Positif
5,très efficace je recommande vivement,Positif
1,nest3mlou w n3tykm elfeedback,Négatif
4,efficace..,Positif
4,magnifique,Positif
4,efficace,Positif
5,le produit est top,Positif
5,tayaraaa alekherrr,Positif
5,excellent !!!,Positif
5,good quality.  supeeer,Positif
5,produit top,Positif
4,je recommande ,Positif
4,pas mal,Positif
4,behiya,Positif
2,amour,Neutre
4,efficacité top,Positif
5,le produit est découvert  top,Positif
3,bon produit pour peau sèche,Positif
4,tpo,Positif
2,u,Neutre
4,bon produit.,Positif
5,إكتشاف,Positif
5,ta7foun 3alle5er,Positif
4,excellent remplacement pour cerave car ce n’est pas pour boycotter,Positif
5,produit efficace,Positif
5,wow,Positif
5,très efficace pour peau grassse a tendance acnéique !,Positif
5,ce gel est juste magnifique,Positif
4,for oily acne prone skin ,Positif
5,très bon produit,Positif
5,super top,Positif
3,​​,Positif
5,efficace pour peau grasse,Positif
3,bon x pas un excellent produit mais il fait l’affaire,Positif
5,toopppp,Positif
4,"je recommande vivement , top",Positif
5,tarif intéressant,Positif
4,tres efficase,Positif
5,effective and lightens dark spots,Positif
5,très très bon,Positif
5,trop cher malheureusement,Positif
4,raw3a malgrés cher mais efficace pour les taches brunes,Positif
4,cher mais efficase,Positif
4,très efficace pour les tâches brunes,Positif
5,j’adore je recommande,Positif
5,tres efficace,Positif
5,يعطي نتيجة من أول إستعمال,Positif
5,très bon produit et efficace,Positif
1,très cher pour son efficacité ça ne marche pas aussi simple que ça,Négatif
5,trés efficace,Positif
5,toop,Positif
5,efficace contre les tavhes sans irritation,Positif
5,miraculeux,Positif
5,j‘adore,Positif
5,j’ai trouvé de bons résultats avec ce produit qui m’a enlevé les taches brunes,Positif
3,le rapport qualité prix est non équilibré,Positif
2,ghali,Neutre
3,"il est bon en combiant avec une creme hydratante
mais il est un peu chere",Positif
5,produit parfait pour réduire les taches,Positif
5,vraiment top avec continuation,Positif
5,je recommande top du top,Positif
5,excellent le meilleur,Positif
5,ce soin est très efficace,Positif
5,rop,Positif
5,incroyable,Positif
4,moins efficace que le serum,Positif
5,top je recommande fortement,Positif
5,nice product,Positif
5,franchement toppp,Positif
5,ejebni bech nawed menou,Positif
5,encore dispo??,Positif
5,behi barcha,Positif
5,coup de cœur ,Positif
5,bon site,Positif
5,top de top,Positif
5,top,Positif
4,bon nettoyant,Positif
5,coup de cœur  toooooppp,Positif
5,el gamme el cool mta3 la roche posay tayyaraa,Positif
5,le meilleur,Positif
5,tahfoun,Positif
1,nul déconseillé pour la peau sèche.,Négatif
5,top ,Positif
5,behi lil wjeh li yztet,Positif
5,parfait pour une peau mixte à grasse,Positif
5,tayara mchee m3aya ena peau grasses,Positif
4,adorable,Positif
5,top one,Positif
5,just waaaaaw ,Positif
1,ye,Négatif
5,mcha m3aya,Positif
5,il a une texture très visqueuse,Positif
5,le meilleure,Positif
5,i love it,Positif
5,mezel andkom menou?,Positif
5,soum behii,Positif
5,nheb wehed ekher,Positif
5,trés efficace pour peaux grasses,Positif
5,le meilleur gel nettoyent pour le peaux grasse,Positif
4,top produit,Positif
5,ynadhef,Positif
3,behy ama sa3at n7essou yshaya7 barsha lezmou m3ah crème hydratante adéquate,Positif
4,parfait pour peau grasse,Positif
2,ychaya7 barcha,Neutre
4,j’aime,Positif
5,meilleure gamme,Positif
3,ynadhef l peau bl behi,Positif
4,ynadhef mli7 w ychaya7 el wejh,Positif
4,top yoktel,Positif
2,convient mieux aux peaux grasses pas sensibles.gamma trop parfumée et irritante. pas catastrophique,Neutre
5,top top ,Positif
4,toop ,Positif
5,excellent pour les peaux mixtes,Positif
5,svr toujours au top,Positif
1,just for oily skin,Négatif
4,j’addoooreee,Positif
3,mche m3aya,Positif
3,ok,Positif
1,cv,Négatif
4,seulement pour peaux grasses! à éviter pour les peux normales à sèches,Positif
4,"top du top ,,",Positif
5,depuis 15 ans,Positif
5,produit top de top,Positif
5,the best ,Positif
4,a recommander,Positif
4,…..f,Positif
4,bon qualité-prix,Positif
5,c’est magnifique pour la peau grasse,Positif
5,mchee maaya,Positif
5,yaser ta7foun peau mixte,Positif
5,parfait pour peaux grasses,Positif
5,perfect for oily skin,Positif
4,9alou behy ,Positif
4,bon rapport qualité prix,Positif
2,pas trop,Neutre
5,dispo?,Positif
5,topppp,Positif
4,super ,Positif
4,excellent gel nettoyant,Positif
4,très bn produit,Positif
4,il est trop bien pour une peau mixte à grasse,Positif
1,ychaya7 peau barcha,Négatif
4,behii lil peau grasse ama yeser ychaya7 wejh lil peau normale,Positif
5,loove ,Positif
3,il y a beaucoup mieux pour le prix,Positif
4,ken peau sèche ychaya7ha ale5r,Positif
5,"les dermatologues l’aiment. un bon produit, n’enlève pas le maquillage super bien. mais c’est parce qu’il est très doux. accompagner par une eau micellaire avant.",Positif
5,gooooldd,Positif
5,top top top,Positif
4,rapport qualité prix acceptable. je conseille la grande taille.,Positif
4,qualité incroyable je recommande,Positif
3,i like it,Positif
5,parfait pour une peau mixte,Positif
4,surprisiingly gentle,Positif
5,perfect,Positif
3,efficace pour peaux acnéique,Positif
5,tahfoun wmche maya,Positif
4,yecer tayara franchement,Positif
5,à utiliser sans hésitation,Positif
5,toujours disponible?,Positif
5,vraiment top !,Positif
5,je recommande !,Positif
5,mche maya alekher,Positif
5,bonne qualité,Positif
4,il est bien mais je préfère l’huile lavante pour peau sèche,Positif
5,je recommande pour toute la famille,Positif
5,vraiment top,Positif
4,"smells so good
refreshing",Positif
5,top sur tout pour les peaux sensibles,Positif
5,je le recommande,Positif
5,j’ai été surprise par la quantité généreuse du produit et surtout la bonne odeur du gel,Positif
5,top pour le peau sèche,Positif
4,"pour le corps, pour le visage non",Positif
5,meilleur produit,Positif
1,"moch tayara lha9 mamchach m3aya
tala3li hbob fi wejhi",Négatif
5,the best hydration cream excellent result excellent excellent in everything,Positif
5,hydratant et elle a un effet matifiant à la fois j’adore,Positif
4,bien pour peau grasse,Positif
4,apaisante et anti marques comme promis. idéale pour accompagner un traitement curacné. peut être trop lourde peut être à cause du beurre de shea. l’une des rares crèmes contenant niacinamide + céramides en tunisie.,Positif
5,goood meilleur hydratation,Positif
5,produit de haute hydratation,Positif
4,il est bien pour la peau grasse,Positif
3,mieux que les autres,Positif
4,crème hydratante excellente pour peux grasse,Positif
5,"répare et apaise la peau, aide à réduire les marques.",Positif
5,trop bon,Positif
4,good composition,Positif
5,"j’adore le produit, il est tres hydratant et donne un effet matifiant à la fois.",Positif
5,wakteh toufa la promo?,Positif
5,my favourite,Positif
5,franchement produit tayara,Positif
5,très efficace!,Positif
4,aaa,Positif
5,résultat efficace !,Positif
4,juste wawww,Positif
5,approuvé,Positif
5,testé et approuvé,Positif
3,behyy aalkhr,Positif
3,tres bien,Positif
5,je le recommande vivement,Positif
5,j’aime trop il hydrate au profond !,Positif
4,magnifique produit ,Positif
5,hydratation totale merci beaucoup,Positif
5,il fonctionne comme la magie,Positif
3,hydratation moyenne. pas d’effet visible sur la peau.,Positif
5,andi barcha nestamel fih,Positif
4,"parmis les meilleurs, top malgré ma peau grasse mche m3aya",Positif
5,j’adore mais pour les peaux non sensibles,Positif
4,"not for everyday, but good",Positif
5,excellent résultat en seulement 15 jour,Positif
5,soin de jour efficace avec son  ecran,Positif
4,beau tarif ,Positif
5,the best for me ,Positif
5,khthitou ejebni !,Positif
5,top la promo !,Positif
5,behi,Positif
4,j’ai aimé,Positif
4,parfait lel peaux grasses,Positif
4,good for mixed skin,Positif
4,top mais il y a mieux,Positif
5,mezel en rupture?,Positif
5,je l\’ai utilisé il est bien,Positif
5,super produit à essayer,Positif
5,100% je l’utilise toujours,Positif
5,jarbetou behy lél peau sèche,Positif
3,ce n’est pas un gel nettoyant quotidien pour peau mixte. à réserver aux peaux plutôt sèches intolérantes atopiques etc… ou en gel douche.,Positif
5,j’aime ce produit,Positif
5,parfait pour la peau séche,Positif
5,…,Positif
4,……….n..m…,Positif
5,super produit,Positif
5,my favourite ,Positif
4,ce que j’aime ,Positif
5,je veux repasser commande,Positif
5,my fav !,Positif
4,remplace le.fond de teint,Positif
4,toppppp  tamchi maae beau bidhaa sinon kn samra chwaya je conseille khoudh medium,Positif
4,mech khayeb,Positif
4,texture ejbtnich barcha,Positif
3,what are these shades svr ? ,Positif
4,tres bien et hydratante,Positif
2,moyen,Neutre
4,bonne,Positif
3,parfum suffocant,Positif
4,idéal pour une peau normale!,Positif
1,pas pour les peaux grasses,Négatif
5,efficace je recommande vivement,Positif
4,il améliore nettement la qualité de la peau,Positif
4,yekhou wa9t bch tla7edh résultat,Positif
4,efficase,Positif
5,je recommande !!!waw,Positif
4,efficace ,Positif
5,efficace je recommande !,Positif
5,yna9es l boutons n7otou f lil f nhar nal9aha tfet,Positif
4,efficace !,Positif
5,excellent produit!!,Positif
4,efficace pour les traces,Positif
5,produit magique je le recommande vivement,Positif
5,on l a utilisé pour une teratospermie severe 2% on apres 4 mois ca passe a 5% . je recommande,Positif
5,bons produits conformes à mes attentes et livraison au top ; je recommande vivement,Positif
5,produit excellent,Positif
5,الافضل تاثيرا لجودة الحيوانات المنوية مع الانتظام في تناوله لمدة لا تتجاوز 3 اشهر يقع خلالها الحمل باذن الله,Positif
5,المشكل الوحيد هو الثمن مرتفع جدا,Positif
4,good je recommande,Positif
5,منتج رائع جدا و مفيد,Positif
5,ejbetni el texture mteou,Positif
5,tayaraa alekher,Positif
5,ce que j’aime le plus c est que ce produit apporte un toucher sec a la peau et c’est genial car on aime pas que la texture sois grasse sur le visage,Positif
4,texture behya barcha,Positif
4,bonne texture,Positif
5,mayzarra9ch,Positif
5,un coup de coeur,Positif
4,best one ever,Positif
5,meilleur texture,Positif
5,aspect tahfoun,Positif
5,heyla,Positif
4,bon,Positif
4,texture agréable,Positif
5,mon indispensable,Positif
5,texture ,Positif
4,tres bon,Positif
4,texture top,Positif
3,son effet est bien mais pas pour les peaux hyper grasses,Positif
5,best one so far ,Positif
4,yhaball ama fih effet orange,Positif
4,texture ejbetni mais ma ysee3dch barcha  les peaux grasses,Positif
4,super pour les peaux grasses,Positif
5,texture tayara,Positif
5,couvrante excellente,Positif
5,magic sun secure,Positif
5,excellent choix pour protéger ma peau,Positif
5,j’aime la texture. bon rapport qualité prix.,Positif
5,l’excellence du produit iconique svr sun secure blur avec une teinte matifiante exceptionnelle,Positif
5,bonne mine,Positif
5,mahleh,Positif
4,thé best,Positif
5,la texture toop,Positif
5,yhabal aman,Positif
5,je recommande cet article vivement,Positif
5,bien ,Positif
5,"top ! leger, invisible et toucher sec",Positif
5,le meilleur écran  mais le seul problème c’est le parfum qui me pique les yeux !,Positif
4,all around good product,Positif
5,texture fine w ta3ty effet naturel,Positif
5,excellente,Positif
5,nekmandi dima menou behi,Positif
5,je recommande bientôt,Positif
5,je recommande vivement !!,Positif
5,exellente pour les peaux sensible,Positif
5,dispo !!,Positif
5,j’adore ce produit,Positif
5,meilleurs écran pour peaux mixte je l utilisé depuis deux ans  toucher velouté et au niveau protection elle est parfaite j adore ,Positif
5,excellent pour les peaux sensibles et grasses,Positif
5,ahssen écran lel peau mixte à grasse,Positif
5,excellente protection,Positif
5,top je recommande,Positif
5,la meilleur,Positif
5,j’adore la protection,Positif
5,c’est le meilleur,Positif
5,des  prix raisonnables,Positif
5,les prix sont intéressants,Positif
5,أسوان راءعة,Positif
4,behya lil peau grâce,Positif
5,parfaite pour une mixte à grasse,Positif
5,excellent pour les peaux grasses !,Positif
5,tayara llpeau grasses,Positif
5,top top a9wa écran sta3mltha,Positif
5,ساعدني باش نحمي روحي من الشمس,Positif
5,produit tooop,Positif
4,top par experience,Positif
5,je recommande vivement top du top,Positif
5,j’aime bien,Positif
5,excellent pour peau grasse ,Positif
5,texture mahleha ,Positif
5,tpp,Positif
5,super produit merci!!,Positif
5,the best everr ,Positif
4,raw3a,Positif
5,top merci,Positif
5,je bien recommande,Positif
4,il aide à fortifier les ongles et le cheveux,Positif
5,il m’aide à fortifier les ongles et le cheveux,Positif
5,qualité top,Positif
5,gooddd,Positif
4,démunie les boutons,Positif
3,qualité fort doppelherz,Positif
4,normal,Positif
5,recommandé par un gynécologue,Positif
5,très bonne qualité,Positif
5,produit de haute qualite,Positif
5,un bon produit pour la fertilité,Positif
4,ke recommande pour les diabete,Positif
5,top,Positif
5,le meilleur produit de sa catégorie,Positif
5,comment l\’utiliser?,Positif
5,je continue à acheter ce produit,Positif
5,prix très raisonnable,Positif
5,the perfect one  for oily skin,Positif
5,l’indispensable de l’été très bonne protection,Positif
4,prix raisonnable pour un excellent produit,Positif
4,magnifique!,Positif
5,جيد,Positif
5,جيد جدا,Positif
5,incr !,Positif
5,my favorite,Positif
4,toopp,Positif
5,top du top celui ci,Positif
5,b1,Positif
4,bn prd,Positif
5,rafraîchissant ,Positif
5,j’adore cette eau thermes de la marque avène pour la sensation de fraicheur qu’elle me donne,Positif
5,"cette eau thermale est indispensable pendant l’été ! a la plage, après avoir conduit sous le soleil, à la sortie d’un hammam, je l’utilise pour moi et pour mes enfants, et elle est top !",Positif
5,"je le confirme, elle m’est indispensable en été, j’ai essayé une autre eau thermale, mais elle n’est pas comme l’avene, je le recommande vivement",Positif
5,hydratation ,Positif
5,trs efficase,Positif
5,avene top,Positif
4,frais et bon,Positif
5,elle rafraîchit comme pas possible,Positif
5,excellent ,Positif
5,"apres un coup de soleil, tres efficace, apaisant et rafraichissant",Positif
4, tooop,Positif
3,just water but good,Positif
5,impeccable produit  benifits sur le peau je recommande,Positif
5,good quality. tayara,Positif
5,"mche maaya, ychaya7 l 7ab w ma ychay7ch l wejh",Positif
5,a9wa gel nettoyant <3 <3,Positif
5,merci beaucoup,Positif
3,parfait pour les peaux mixtes sauf que c’est une marque à boycotter dorénavant,Positif
5,top de top ,Positif
4,magnifique ,Positif
1,no,Négatif
3,its great,Positif
5,nettoie et hydrate bien la peau.,Positif
2,tal3li 7boub ta7t l jelda,Neutre
4,bonne qualité.,Positif
5,tres efficace je l achete tjr,Positif
5,ahssen produit jarabet des marques okhrin houa haja okhra d’ailleurs dermatologue hiya eli katli 3lih we jarabtou we mandemtech,Positif
5,topp du top,Positif
5,produit tayara,Positif
4,top ,Positif
5,bien eficace,Positif
5,top par expérience,Positif
5,topp du toop,Positif
5,mon produit  préféré,Positif
2,simple hydratation,Neutre
5,hydratant ,Positif
5,hydrate bien sans laisser des traces sur le visage.,Positif
4,j’ai trop aimé,Positif
5,"ahsen creme hydratante 619
non sticky
mafihech rihet parfum kweya",Positif
2,ma ejbetnich barcha simple,Neutre
5,mchet m3aya bel behiii,Positif
5,hydrate  bien,Positif
5,hylaaa ,Positif
5,100% ,Positif
4,nheb nzid nechri menou,Positif
5,jadoree,Positif
5,good quality ,Positif
5,je l’utilise depuis plusieurs années.très efficace pour éclairer les taches brunes et non piquante aux yeux,Positif
5,jadoreee,Positif
5,éclat magnifique,Positif
5,mahlehh,Positif
5,khfif aal wejh alekher et nettoie bien w 3aweni bch nfateh wjhi w hatta les trace d’acné f modda 9sira brsmi toooooopp blch moubel8a,Positif
5,"baume cerave hydratante, je l’utilise pour mon visage, j’ai la peau très sensible à sèche, elle est juste parfaite ",Positif
5,meilleur baume hydratant que je utiliser ,Positif
5,magnifique ,Positif
5,parfaite ,Positif
5,yrateb l bdan wl wejh bl behi,Positif
5,magnifique ,Positif
5,impeccable ,Positif
5,magnifique je l’utilise depuis des années,Positif
4,très efficace pour peau grasse ou normale,Positif
5,magnifique ,Positif
5,",……………",Positif
4,g g….gg…….g,Positif
4,incroyable  ,Positif
5,topppo,Positif
5,une tuerie,Positif
5,validé,Positif
4,behy lel peau sèche et sensible,Positif
5,love,Positif
5,je le recommande très fort,Positif
4,good cleanser,Positif
5,je recommande surtt pour les boutons et les boules de graisse,Positif
4,behi barsha,Positif
4,good one,Positif
5,je recommande!,Positif
4,waww,Positif
5,"trés bon produit, difference remarquée dans les deux premieres semaines d’utilisation",Positif
5,nettoie en profondeur wow,Positif
4,pour les peaux normale à mixtes,Positif
5,mon coup de coeur,Positif
4,heyeel,Positif
5,super prix très raisonnable,Positif
5,3jbni brcha,Positif
4,behia,Positif
5,"génial comme écran, la texture est top",Positif
5,goodd,Positif
4,c’est superbe,Positif
3,behya,Positif
5,qualité top,Positif
5,tres bonne qualiée vraiment !!!!,Positif
4,ttttop,Positif
5,toujours au top,Positif
5,wesletni lcommande ayechkom,Positif
4,efficace mais je ne le conseille pas aux peaux sensibles,Positif
5,waaawh,Positif
4,effet visible à partir de deux mois d’utilisation,Positif
4,aswemkom raisonnable,Positif
5,"se sent hydratant , très eclaircissant et donne des resultats wow",Positif
3,déconseillé aux peaux sensibles,Positif
5,le meilleur : visage éclairé,Positif
4,ta7foun,Positif
4,y3ti éclat lil wejh ama mayn7ch trace d’acné,Positif
1,aucun effet,Négatif
5,"top, ya3ti éclat fl wejh w yna9es m trace l 7ab w les tâches brunes",Positif
